State,Census,Estimates Base,2010,2011,2012,2013,2014,2015
Alabama,4779736.00,4780127.00,4785161.00,4801108.00,4816089.00,4830533.00,4846411.00,4858979.00
Alaska,710231.00,710249.00,714021.00,722720.00,731228.00,737442.00,737046.00,738432.00
Arizona,6392017.00,6392307.00,6408208.00,6468732.00,6553262.00,6630799.00,6728783.00,6828065.00
Arkansas,2915918.00,2915958.00,2922394.00,2938538.00,2949499.00,2957957.00,2966835.00,2978204.00
California,37253956.00,37254503.00,37334079.00,37700034.00,38056055.00,38414128.00,38792291.00,39144818.00
Colorado,5029196.00,5029324.00,5048254.00,5119480.00,5191731.00,5271132.00,5355588.00,5456574.00
Connecticut,3574097.00,3574118.00,3579717.00,3589759.00,3593541.00,3597168.00,3594762.00,3590886.00
Delaware,897934.00,897936.00,899791.00,907916.00,917099.00,925353.00,935968.00,945934.00
District of Columbia,601723.00,601767.00,605126.00,620472.00,635342.00,649540.00,659836.00,672228.00
Florida,18801310.00,18804623.00,18849890.00,19105533.00,19352021.00,19594467.00,19905569.00,20271272.00
Georgia,9687653.00,9688681.00,9713454.00,9812280.00,9917639.00,9991562.00,10097132.00,10214860.00
Hawaii,1360301.00,1360301.00,1363980.00,1378227.00,1392641.00,1408765.00,1420257.00,1431603.00
Idaho,1567582.00,1567652.00,1570986.00,1584134.00,1596097.00,1612785.00,1634806.00,1654930.00
Illinois,12830632.00,12831549.00,12841249.00,12861882.00,12875167.00,12889580.00,12882189.00,12859995.00
Indiana,6483802.00,6484229.00,6490590.00,6516845.00,6538283.00,6570518.00,6597880.00,6619680.00
Iowa,3046355.00,3046869.00,3050694.00,3065389.00,3076636.00,3092224.00,3109481.00,3123899.00
Kansas,2853118.00,2853132.00,2858824.00,2869917.00,2886281.00,2894630.00,2902507.00,2911641.00
Kentucky,4339367.00,4339349.00,4347937.00,4367882.00,4382667.00,4398500.00,4412617.00,4425092.00
Louisiana,4533372.00,4533479.00,4544951.00,4575381.00,4603676.00,4627491.00,4648990.00,4670724.00
Maine,1328361.00,1328361.00,1327695.00,1328257.00,1328888.00,1328778.00,1330256.00,1329328.00
Maryland,5773552.00,5773785.00,5788409.00,5844171.00,5890740.00,5936040.00,5975346.00,6006401.00
Massachusetts,6547629.00,6547817.00,6565036.00,6611797.00,6657780.00,6708810.00,6755124.00,6794422.00
Michigan,9883640.00,9884129.00,9877369.00,9876589.00,9886879.00,9900506.00,9916306.00,9922576.00
Minnesota,5303925.00,5303925.00,5310903.00,5348119.00,5380443.00,5420541.00,5457125.00,5489594.00
Mississippi,2967297.00,2968103.00,2970316.00,2977999.00,2985660.00,2990976.00,2993443.00,2992333.00
Missouri,5988927.00,5988927.00,5996052.00,6010587.00,6025468.00,6043708.00,6063827.00,6083672.00
Montana,989415.00,989417.00,990643.00,997746.00,1005157.00,1014402.00,1023252.00,1032949.00
Nebraska,1826341.00,1826341.00,1830025.00,1842383.00,1855973.00,1869300.00,1882980.00,1896190.00
Nevada,2700551.00,2700691.00,2703440.00,2718819.00,2754874.00,2790366.00,2838281.00,2890845.00
New Hampshire,1316470.00,1316466.00,1316708.00,1318344.00,1321393.00,1322660.00,1327996.00,1330608.00
New Jersey,8791894.00,8791936.00,8803881.00,8842934.00,8874893.00,8907384.00,8938844.00,8958013.00
New Mexico,2059179.00,2059192.00,2064741.00,2078226.00,2084792.00,2086890.00,2085567.00,2085109.00
New York,19378102.00,19378087.00,19402920.00,19523202.00,19606981.00,19691032.00,19748858.00,19795791.00
North Carolina,9535483.00,9535692.00,9558979.00,9651025.00,9747021.00,9845432.00,9940387.00,10042802.00
North Dakota,672591.00,672591.00,674530.00,685326.00,702265.00,723626.00,740040.00,756927.00
Ohio,11536504.00,11536725.00,11540766.00,11545442.00,11551783.00,11572232.00,11596998.00,11613423.00
Oklahoma,3751351.00,3751616.00,3759596.00,3786626.00,3817679.00,3853405.00,3879610.00,3911338.00
Oregon,3831074.00,3831073.00,3837972.00,3868509.00,3899444.00,3928030.00,3971202.00,4028977.00
Pennsylvania,12702379.00,12702887.00,12712014.00,12745202.00,12772789.00,12783536.00,12793767.00,12802503.00
Rhode Island,1052567.00,1052931.00,1053219.00,1051856.00,1052393.00,1052856.00,1054907.00,1056298.00
South Carolina,4625364.00,4625401.00,4635894.00,4672733.00,4721341.00,4768498.00,4829160.00,4896146.00
South Dakota,814180.00,814191.00,816299.00,824289.00,834631.00,845270.00,853304.00,858469.00
Tennessee,6346105.00,6346275.00,6356585.00,6398408.00,6455469.00,6496130.00,6547779.00,6600299.00
Texas,25145561.00,25146105.00,25244363.00,25654464.00,26089741.00,26500674.00,26979078.00,27469114.00
Utah,2763885.00,2763888.00,2775426.00,2816440.00,2856343.00,2903685.00,2944498.00,2995919.00
Vermont,625741.00,625745.00,625984.00,626687.00,626398.00,627129.00,626767.00,626042.00
Virginia,8001024.00,8001045.00,8025787.00,8110783.00,8193374.00,8267875.00,8328098.00,8382993.00
Washington,6724540.00,6724543.00,6743060.00,6823229.00,6897292.00,6973281.00,7063166.00,7170351.00
West Virginia,1852994.00,1853011.00,1854225.00,1854948.00,1856283.00,1852985.00,1848751.00,1844128.00
Wisconsin,5686986.00,5687289.00,5690204.00,5709720.00,5726422.00,5743653.00,5759432.00,5771337.00
Wyoming,563626.00,563767.00,564516.00,567768.00,577080.00,583131.00,584304.00,586107.00