key,value,date
AR,0.1,1/8/13
AR,0.15,1/9/13
AR,0.35,1/10/13
AR,0.38,1/11/13
AR,0.22,1/12/13
AR,0.16,1/13/13
AR,0.07,1/14/13
AR,0.02,1/15/13
AR,0.17,1/16/13
AR,0.33,1/17/13
AR,0.4,1/18/13
AR,0.32,1/19/13
AR,0.26,1/20/13
AR,0.35,1/21/13
AR,0.4,1/22/13
AR,0.32,1/23/13
AR,0.26,1/24/13
AR,0.22,1/25/13
AR,0.16,1/26/13
AR,0.22,1/27/13
AR,0.1,1/28/13
DJ,0.35,1/8/13
DJ,0.36,1/9/13
DJ,0.37,1/10/13
DJ,0.22,1/11/13
DJ,0.24,1/12/13
DJ,0.26,1/13/13
DJ,0.34,1/14/13
DJ,0.21,1/15/13
DJ,0.18,1/16/13
DJ,0.45,1/17/13
DJ,0.32,1/18/13
DJ,0.35,1/19/13
DJ,0.3,1/20/13
DJ,0.28,1/21/13
DJ,0.27,1/22/13
DJ,0.26,1/23/13
DJ,0.15,1/24/13
DJ,0.3,1/25/13
DJ,0.35,1/26/13
DJ,0.42,1/27/13
DJ,0.42,1/28/13
MS,0.21,1/8/13
MS,0.25,1/9/13
MS,0.27,1/10/13
MS,0.23,1/11/13
MS,0.24,1/12/13
MS,0.21,1/13/13
MS,0.35,1/14/13
MS,0.39,1/15/13
MS,0.4,1/16/13
MS,0.36,1/17/13
MS,0.33,1/18/13
MS,0.43,1/19/13
MS,0.4,1/20/13
MS,0.34,1/21/13
MS,0.28,1/22/13
MS,0.26,1/23/13
MS,0.37,1/24/13
MS,0.41,1/25/13
MS,0.46,1/26/13
MS,0.47,1/27/13
MS,0.41,1/28/13
RC,0.1,1/8/13
RC,0.15,1/9/13
RC,0.35,1/10/13
RC,0.38,1/11/13
RC,0.22,1/12/13
RC,0.16,1/13/13
RC,0.07,1/14/13
RC,0.02,1/15/13
RC,0.17,1/16/13
RC,0.33,1/17/13
RC,0.4,1/18/13
RC,0.32,1/19/13
RC,0.26,1/20/13
RC,0.35,1/21/13
RC,0.4,1/22/13
RC,0.32,1/23/13
RC,0.26,1/24/13
RC,0.22,1/25/13
RC,0.16,1/26/13
RC,0.22,1/27/13
RC,0.1,1/28/13